# frame 0  Twc (camera->world)
-0.28841253 0.95422595 0.07918994 -0.01833660
-0.28217183 -0.16373399 0.94528844 0.09930113
0.00000000 0.00000000 0.00000000 1.00000000
# frame 113  Twc (camera->world)
0.91334698 0.25496870 0.31747167 -0.00446947
-0.29312681 0.95288444 0.07802516 -0.01707087
-0.28261984 -0.16432350 0.94505228 0.09939593
0.00000000 0.00000000 0.00000000 1.00000000
# frame 114  Twc (camera->world)
0.91260068 0.26031318 0.31527298 -0.00567731
-0.29739263 0.95180817 0.07495886 -0.01625532
-0.28056662 -0.16216736 0.94603600 0.09826384
0.00000000 0.00000000 0.00000000 1.00000000
# frame 115  Twc (camera->world)
0.91267361 0.26275515 0.31302814 -0.00700657
-0.29905584 0.95141460 0.07332021 -0.01533266
-0.27855428 -0.16053032 0.94690946 0.09599445
0.00000000 0.00000000 0.00000000 1.00000000
# frame 116  Twc (camera->world)
0.90556408 0.28252668 0.31643700 -0.00844893
-0.31846600 0.94555321 0.06714564 -0.01496645
-0.28023758 -0.16157911 0.94623416 0.09339174
0.00000000 0.00000000 0.00000000 1.00000000
# frame 117  Twc (camera->world)
0.88693357 0.31607875 0.33681310 -0.01379463
-0.34645937 0.93750015 0.03254795 -0.01153885
-0.30547462 -0.14555993 0.94100880 0.08965593
0.00000000 0.00000000 0.00000000 1.00000000
# frame 118  Twc (camera->world)
0.88706174 0.31869239 0.33400093 -0.01376845
-0.34753875 0.93722482 0.02874814 -0.01177445
-0.30387215 -0.14157964 0.94213424 0.08841933
0.00000000 0.00000000 0.00000000 1.00000000
# frame 119  Twc (camera->world)
0.88587597 0.32237840 0.33361044 -0.01474903
-0.34942632 0.93668829 0.02272201 -0.01152632
-0.30516391 -0.13670115 0.94243715 0.08699242
0.00000000 0.00000000 0.00000000 1.00000000
